Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A01,FAM,N1,Unkn,NO_235_G,35.70619898,NaN
A02,FAM,N1,Unkn,NO_235_G,37.90494296,NaN
A03,FAM,N1,Unkn,NO_235_G,36.52482367,NaN
A05,FAM,N1,Unkn,MI_235_G,38.13495782,NaN
A06,FAM,N1,Unkn,MI_235_G,36.44920909,NaN
A07,FAM,N1,Unkn,MI_235_G,36.54059338,NaN
A09,FAM,N1,Unkn,CC_235_G,NaN,NaN
A10,FAM,N1,Unkn,CC_235_G,37.358674,NaN
A11,FAM,N1,Unkn,CC_235_G,NaN,NaN
A13,FAM,N2,Unkn,NO_235_G,37.1364141,NaN
A14,FAM,N2,Unkn,NO_235_G,38.28070368,NaN
A15,FAM,N2,Unkn,NO_235_G,37.35222833,NaN
A16,FAM,N2,Unkn,MI_235_G,37.48535026,NaN
A17,FAM,N2,Unkn,MI_235_G,37.97001404,NaN
A18,FAM,N2,Unkn,MI_235_G,39.65443089,NaN
A19,FAM,N2,Unkn,CC_235_G,38.43696411,NaN
A20,FAM,N2,Unkn,CC_235_G,NaN,NaN
A21,FAM,N2,Unkn,CC_235_G,NaN,NaN
A22,FAM,BCOV,Unkn,NO_235_B,28.49925086,NaN
A23,FAM,BCOV,Unkn,NO_235_B,28.43691111,NaN
A24,FAM,BCOV,Unkn,NO_235_B,28.41654531,NaN
C01,FAM,N1,Unkn,NO_235_B,37.47274901,NaN
C02,FAM,N1,Unkn,NO_235_B,37.49687083,NaN
C03,FAM,N1,Unkn,NO_235_B,36.5823126,NaN
C05,FAM,N1,Unkn,MI_235_B,NaN,NaN
C06,FAM,N1,Unkn,MI_235_B,38.17427977,NaN
C07,FAM,N1,Unkn,MI_235_B,37.08269644,NaN
C09,FAM,N1,Unkn,CC_235_B,36.36310859,NaN
C10,FAM,N1,Unkn,CC_235_B,NaN,NaN
C11,FAM,N1,Unkn,CC_235_B,36.22506745,NaN
C13,FAM,N2,Unkn,NO_235_B,NaN,NaN
C14,FAM,N2,Unkn,NO_235_B,39.79675207,NaN
C15,FAM,N2,Unkn,NO_235_B,39.18774243,NaN
C16,FAM,N2,Unkn,MI_235_B,NaN,NaN
C17,FAM,N2,Unkn,MI_235_B,NaN,NaN
C18,FAM,N2,Unkn,MI_235_B,38.09039584,NaN
C19,FAM,N2,Unkn,CC_235_B,NaN,NaN
C20,FAM,N2,Unkn,CC_235_B,38.26656929,NaN
C21,FAM,N2,Unkn,CC_235_B,39.16736611,NaN
C22,FAM,BCOV,Unkn,MI_235_B,28.99642567,NaN
C23,FAM,BCOV,Unkn,MI_235_B,28.75343168,NaN
C24,FAM,BCOV,Unkn,MI_235_B,28.57401805,NaN
E01,FAM,N1,Unkn,NO_235_C,35.61062265,NaN
E02,FAM,N1,Unkn,NO_235_C,38.2862945,NaN
E03,FAM,N1,Unkn,NO_235_C,35.84909583,NaN
E05,FAM,N1,Unkn,MI_235_C,37.31313623,NaN
E06,FAM,N1,Unkn,MI_235_C,35.80416221,NaN
E07,FAM,N1,Unkn,MI_235_C,36.54369618,NaN
E09,FAM,N1,Unkn,CC_235_C,37.44212068,NaN
E10,FAM,N1,Unkn,CC_235_C,37.21026574,NaN
E11,FAM,N1,Unkn,CC_235_C,38.02187097,NaN
E13,FAM,N2,Unkn,NO_235_C,38.09487944,NaN
E14,FAM,N2,Unkn,NO_235_C,38.13199783,NaN
E15,FAM,N2,Unkn,NO_235_C,37.20415817,NaN
E16,FAM,N2,Unkn,MI_235_C,38.29790996,NaN
E17,FAM,N2,Unkn,MI_235_C,37.64785079,NaN
E18,FAM,N2,Unkn,MI_235_C,38.16254819,NaN
E19,FAM,N2,Unkn,CC_235_C,NaN,NaN
E20,FAM,N2,Unkn,CC_235_C,38.79134767,NaN
E21,FAM,N2,Unkn,CC_235_C,NaN,NaN
E22,FAM,BCOV,Unkn,CC_235_B,28.5583368,NaN
E23,FAM,BCOV,Unkn,CC_235_B,28.47853246,NaN
E24,FAM,BCOV,Unkn,CC_235_B,28.29963184,NaN
G01,FAM,N1,Unkn,NO_235_D,38.12673586,NaN
G02,FAM,N1,Unkn,NO_235_D,38.44006623,NaN
G03,FAM,N1,Unkn,NO_235_D,37.30246606,NaN
G05,FAM,N1,Unkn,MI_235_D,36.4811915,NaN
G06,FAM,N1,Unkn,MI_235_D,38.2863313,NaN
G07,FAM,N1,Unkn,MI_235_D,36.49807614,NaN
G09,FAM,N1,Unkn,CC_235_D,38.30470703,NaN
G10,FAM,N1,Unkn,CC_235_D,37.49619138,NaN
G11,FAM,N1,Unkn,CC_235_D,37.26045327,NaN
G13,FAM,N2,Unkn,NO_235_D,NaN,NaN
G14,FAM,N2,Unkn,NO_235_D,39.25308949,NaN
G15,FAM,N2,Unkn,NO_235_D,NaN,NaN
G16,FAM,N2,Unkn,MI_235_D,37.97302838,NaN
G17,FAM,N2,Unkn,MI_235_D,38.42655524,NaN
G18,FAM,N2,Unkn,MI_235_D,37.12097253,NaN
G19,FAM,N2,Unkn,CC_235_D,38.13391509,NaN
G20,FAM,N2,Unkn,CC_235_D,37.82570142,NaN
G21,FAM,N2,Unkn,CC_235_D,NaN,NaN
G22,FAM,BCOV,Unkn,CG_235,19.62383382,NaN
G23,FAM,BCOV,Unkn,CG_235,20.01804998,NaN
G24,FAM,BCOV,Unkn,CG_235,19.62966274,NaN
I01,FAM,N1,Unkn,NO_235_E,37.3089575,NaN
I02,FAM,N1,Unkn,NO_235_E,37.197016,NaN
I03,FAM,N1,Unkn,NO_235_E,36.30589428,NaN
I05,FAM,N1,Unkn,MI_235_E,38.13707647,NaN
I06,FAM,N1,Unkn,MI_235_E,37.8996719,NaN
I07,FAM,N1,Unkn,MI_235_E,NaN,NaN
I09,FAM,N1,Unkn,CC_235_E,NaN,NaN
I10,FAM,N1,Unkn,CC_235_E,37.06554036,NaN
I11,FAM,N1,Unkn,CC_235_E,37.10552726,NaN
I13,FAM,N2,Unkn,NO_235_E,NaN,NaN
I14,FAM,N2,Unkn,NO_235_E,38.31601598,NaN
I15,FAM,N2,Unkn,NO_235_E,37.58517488,NaN
I16,FAM,N2,Unkn,MI_235_E,39.21895983,NaN
I17,FAM,N2,Unkn,MI_235_E,37.18254183,NaN
I18,FAM,N2,Unkn,MI_235_E,37.08239235,NaN
I19,FAM,N2,Unkn,CC_235_E,38.7922273,NaN
I20,FAM,N2,Unkn,CC_235_E,NaN,NaN
I21,FAM,N2,Unkn,CC_235_E,NaN,NaN
I22,FAM,BCOV,Unkn,NO_RNA_235,7.979498544,NaN
I23,FAM,BCOV,Unkn,NO_RNA_235,7.947813481,NaN
I24,FAM,BCOV,Unkn,NO_RNA_235,8.131911578,NaN
K01,FAM,N1,Unkn,NO_235_F,38.52760657,NaN
K02,FAM,N1,Unkn,NO_235_F,36.22753386,NaN
K03,FAM,N1,Unkn,NO_235_F,36.01182018,NaN
K05,FAM,N1,Unkn,MI_235_F,38.16061714,NaN
K06,FAM,N1,Unkn,MI_235_F,35.78761978,NaN
K07,FAM,N1,Unkn,MI_235_F,36.17192776,NaN
K09,FAM,N1,Unkn,CC_235_F,37.1649205,NaN
K10,FAM,N1,Unkn,CC_235_F,37.03580048,NaN
K11,FAM,N1,Unkn,CC_235_F,36.19215859,NaN
K13,FAM,N2,Unkn,NO_235_F,37.92928664,NaN
K14,FAM,N2,Unkn,NO_235_F,37.31415705,NaN
K15,FAM,N2,Unkn,NO_235_F,38.37015632,NaN
K16,FAM,N2,Unkn,MI_235_F,37.626105,NaN
K17,FAM,N2,Unkn,MI_235_F,36.90729549,NaN
K18,FAM,N2,Unkn,MI_235_F,39.81625693,NaN
K19,FAM,N2,Unkn,CC_235_F,37.68851962,NaN
K20,FAM,N2,Unkn,CC_235_F,37.62498451,NaN
K21,FAM,N2,Unkn,CC_235_F,39.71965262,NaN
K22,FAM,BCOV,Unkn,MI_RNA_235,8.011669056,NaN
K23,FAM,BCOV,Unkn,MI_RNA_235,8.083940052,NaN
K24,FAM,BCOV,Unkn,MI_RNA_235,7.987541661,NaN
M01,FAM,N1,Unkn,BLANK,NaN,NaN
M02,FAM,N1,Unkn,BLANK,NaN,NaN
M03,FAM,N1,Unkn,BLANK,NaN,NaN
M13,FAM,N2,Unkn,BLANK,NaN,NaN
M14,FAM,N2,Unkn,BLANK,NaN,NaN
M15,FAM,N2,Unkn,BLANK,NaN,NaN
M22,FAM,BCOV,Unkn,CC_RNA_235,8.983089522,NaN
M23,FAM,BCOV,Unkn,CC_RNA_235,9.036550297,NaN
M24,FAM,BCOV,Unkn,CC_RNA_235,7.911111103,NaN
O01,FAM,N1,Unkn,SARS-CoV-2,17.73264767,NaN
O02,FAM,N1,Unkn,SARS-CoV-2,17.82194669,NaN
O03,FAM,N1,Unkn,SARS-CoV-2,17.81335931,NaN
O13,FAM,N2,Unkn,SARS-CoV-2,18.89281008,NaN
O14,FAM,N2,Unkn,SARS-CoV-2,18.8365221,NaN
O15,FAM,N2,Unkn,SARS-CoV-2,18.76552943,NaN
O22,FAM,BCOV,Unkn,H2O_RNA_235,7.94882879,NaN
O23,FAM,BCOV,Unkn,H2O_RNA_235,7.967994126,NaN
O24,FAM,BCOV,Unkn,H2O_RNA_235,7.29540631,NaN